| Line | Previous Line Context | Lowercase Start Paragraph |
| 1841 | Section 2. *Rules applicable*. — The procedure in original cases for certiorari, prohibition, mandam | a) All references in said Rules to the Court of Appeals shall be understood to also apply to the Supreme Court;... |
| 1842 | a) All references in said Rules to the Court of Appeals shall be understood to also apply to the Sup | b) The portions of said Rules dealing strictly with and specifically intended for appealed cases in the Court of Appeals shall not be applicable; and... |
| 1843 | b) The portions of said Rules dealing strictly with and specifically intended for appealed cases in  | c) Eighteen (18) clearly legible copies of the petition shall be filed, together with proof of service on all adverse parties.... |
| 1898 | The registrar of deeds must index attachments filed under this section in the names of the applicant | by the certificate of title, a description sufficiently accurate for the identification of the land or interest to be affected shall be included in th... |
| 1942 | Section 16. *Balance due collected upon an execution; excess delivered to judgment obligor*. — If af | ordinary execution. Whenever the judgment shall have been paid, the sheriff, upon reasonable demand, must return to the judgment obligor the attached ... |
| 1960 | Section 1. *Preliminary injunction defined; classes*. — A preliminary injunction is an order granted | or a person to refrain from a particular act or acts. It may also require the performance of a particular act or acts, in which case it shall be known... |
| 1993 | Section 6. *Grounds for objection to, or for motion of dissolution of, injunction or restraining ord | by the court conditioned that he will pay all damages which the applicant may suffer by the denial or the dissolution of the injunction or restraining... |
| 2097 | Section 4. *Motion to dismiss.* – Within the time for filing an answer, each claimant may file a mot | file his answer within the remaining period, but which shall not be less than five (5) days in any event, reckoned from notice of denial. (n)... |
| 2176 | Section 5. *Respondents and costs in certain cases*. — When the petition filed relates to the acts o | petitioner shall be against the private respondents only, and not against the judge, court, quasi-judicial agency, tribunal, corporation, board, offic... |
| 2249 | EXPROPRIATION | the court may issue an order of expropriation declaring that the plaintiff has a lawful right to take the property sought to be expropriated, for the ... |
| 2263 | Section 7. *Report by commissioners and judgment thereupon*. — The court may order the commissioners | that they are allowed ten (10) days within which to file objections to the findings of the report, if they so desire. (7a)... |
| 2277 | Section 13. *Recording judgment, and its effect*. — The judgment entered in expropriation proceeding | property is situated, and its effect shall be to vest in the plaintiff the title to the real estate so described for such public use or purpose. (13a)... |
| 2293 | Section 4. *Disposition of proceeds of sale*. — The amount realized from the foreclosure sale of the | mortgage, and when there shall be any balance or residue, after paying off the mortgage debt due, the same shall be paid to junior encumbrancers in th... |
| 2325 | Section 7. *Action of the court upon commissioners' report*. — Upon the expiration of the period of  | and render such judgment as shall effectuate a fair and just partition of the real estate, or of its value, if assigned or sold as above provided, bet... |
| 2355 | Section 7. *Effect of failure to answer*. — Should the defendant fail to answer the complaint within | court may in its discretion reduce the amount of damages and attorney's fees claimed for being excessive or otherwise unconscionable, without prejudic... |
| 2421 | After the case is decided by the Regional Trial Court, any money paid to the court by the defendant  | deprived of the lawful possession of land or building pending the appeal by virtue of the execution of the judgment of the Municipal Trial Court, dama... |
